price,location,house_type,rooms,bathrooms,rent_duration,property address,estate name,property size,condition,furnishing,pets,facilities,service charge,agency fee,legal and agreement fee,caution fee,housing quality,total rooms,parking space,smoking,parties,broker fee,new property,furnished
"₦ 2,500,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,golf estate gra,golf estate gra,1000 sqm,Newly Built,Furnished,,"Apartment,Dining Area,24 Hours Electricity,Tiled Floor,Hot Water,Kitchen Shelf,Kitchen Cabinets,Pop Ceiling,Wardrobe,Balcony,Pre Paid Meter,Chandelier",Yes,250000.0,250000.0,275000.0,,,,,,,,
"₦ 1,600,000",none,Duplex,5 bedrooms,4 bathrooms,per annum,Centinary City,"Centinary City, Enugu",,Newly Built,Unfurnished,Pets Allowed,"Pre Paid Meter,Pop Ceiling,Kitchen Cabinets,24 Hours Electricity,Hot Water,Wardrobe,Tiled Floor,Kitchen Shelf,Balcony,Dining Area",Yes,150000.0,100000.0,200000.0,,,,,,,,
"₦ 12,000,000","Lagos, Lekki, Lekki Phase 1",Duplex,5 bedrooms,5 bathrooms,per annum,Off Admiralty Road Lekki Phase 1,,,Newly Built,Semi-Furnished,,"24 Hours Electricity,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pre Paid Meter",,,,,,,,,,,,
"₦ 15,000,000","Lagos, Lekki, Osapa london",Duplex,5 bedrooms,5 bathrooms,per annum,Osapa,,,Newly Built,Furnished,,,,,,,,,,,,,,
"₦ 1,500,000","Rivers, Obio-Akpor",Duplex,5 bedrooms,5 bathrooms,per annum,This property is located within tank junction Rumukwurushi,,,Renovated,Semi-Furnished,Pets Allowed,"Dining Area,Kitchen Cabinets,Pop Ceiling,Hot Water,Tiled Floor,Wardrobe",,,,,,,,,,,,
"₦ 2,500,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,wtc estate,wtc estate,600 sqm,Fairly Used,Furnished,,"Wardrobe,Chandelier,Kitchen Cabinets,24 Hours Electricity,Pop Ceiling,Tiled Floor,Hot Water,Pre Paid Meter",Yes,250000.0,250000.0,100000.0,,,,,,,,
"₦ 500,000","Rivers, Obio-Akpor",Block of Flats,5 bedrooms,5 bathrooms,per quarter,This property is at Eneka Road off Rumuodara,,,Fairly Used,Semi-Furnished,,"Dining Area,Pop Ceiling,24 Hours Electricity,Kitchen Cabinets,Hot Water,Tiled Floor,Wardrobe,Balcony",,,,,,,,,,,,
"₦ 2,500,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,golf estate gra,golf estate gra,600 sqm,Fairly Used,Furnished,,"Hot Water,Tiled Floor,Wardrobe,Apartment,24 Hours Electricity,Balcony,Dining Area,Pop Ceiling,Kitchen Shelf,Chandelier,Pre Paid Meter,Kitchen Cabinets",Yes,250000.0,250000.0,200000.0,,,,,,,,
"₦ 2,500,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,GRA Enugu close to ShopRite,old gra Enugu by ShopRite,600 sqm,Fairly Used,Furnished,,"Apartment,Dining Area,Balcony,Pre Paid Meter,Hot Water,Kitchen Shelf,Kitchen Cabinets,Tiled Floor,Wardrobe,Pop Ceiling,24 Hours Electricity",Yes,400000.0,400000.0,100000.0,,,,,,,,
"₦ 2,000,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,NICE 5 BEDROOM DUPLEX FOR RENT AT CORRIDOR LAYOUT,CORRIDOR LAYOUT,600 sqm,Fairly Used,Semi-Furnished,Pets Allowed,"Dining Area,Wardrobe,Pop Ceiling,Balcony,Kitchen Cabinets,Hot Water,Dishwasher,Tiled Floor,24 Hours Electricity,Pre Paid Meter",Yes,10.0,10.0,5.0,,,,,,,,
"₦ 5,000,000","Lagos, Lekki, Chevron",Duplex,5 bedrooms,5 bathrooms,per annum,Lekki,Bera Estate,,Fairly Used,Unfurnished,Pets Allowed,"Hot Water,Tiled Floor,Chandelier,Kitchen Cabinets,Dining Area,Kitchen Shelf,Balcony,Pre Paid Meter,Pop Ceiling,Wardrobe",,,,,,,,,,,,
"₦ 10,000,000","Lagos, Ikoyi",Duplex,5 bedrooms,5 bathrooms,per annum,ikoyi off banana road,ikoyi off banana road,500 sqm,Newly Built,Semi-Furnished,,"Hot Water,Dishwasher,Microwave,Dining Area,Balcony,Kitchen Shelf,Wi-Fi,Pre Paid Meter,Kitchen Cabinets,Tiled Floor,Refrigerator,Apartment,Pop Ceiling,Chandelier,Wardrobe,Air Conditioning",,,,,,,,,,,,
"₦ 8,000,000","Lagos, Lekki, Ikota",Duplex,5 bedrooms,5 bathrooms,per annum,dandy street,Megamound,,Newly Built,Semi-Furnished,Pets Allowed,"Hot Water,Chandelier,Dining Area,Tiled Floor,Dishwasher,Pop Ceiling,Pre Paid Meter,Microwave,Wardrobe,Kitchen Cabinets,Kitchen Shelf,Balcony",,,,,,,,,,,,
"₦ 7,000,000","Lagos, Lekki, Osapa london",Duplex,5 bedrooms,5 bathrooms,per annum,Motan street,LadyBird,,Newly Built,Semi-Furnished,Pets Allowed,"Pre Paid Meter,Dishwasher,Kitchen Shelf,Microwave,Kitchen Cabinets,Tiled Floor,Wardrobe,Balcony,Chandelier,Dining Area,Hot Water,Pop Ceiling",,,,,,,,,,,,
"₦ 6,000,000","Lagos, Ikeja, Adeniyi Jones",Duplex,5 bedrooms,5 bathrooms,per annum,A NEWLY BUILT EXECUTIV 5 BEDROOM SEMIDETACHED DUPLEX WITH BQ,ADENIYI JONES,,Newly Built,Unfurnished,,"Apartment,Kitchen Cabinets,Chandelier,Hot Water,Dining Area,Balcony,Pre Paid Meter,Wardrobe,24 Hours Electricity,Tiled Floor,Dishwasher,Microwave,Air Conditioning,Kitchen Shelf,Pop Ceiling",,,,,,,,,,,,
"₦ 3,750,000",none,Duplex,5 bedrooms,5 bathrooms,per annum,Green Land Estate,Greenland Estate,465 sqm,Fairly Used,Semi-Furnished,Pets Allowed,"Kitchen Shelf,Tiled Floor,Wardrobe,Pop Ceiling,Balcony,Dining Area,24 Hours Electricity,Hot Water,Chandelier,Kitchen Cabinets",,,,,,,,,,,,
"₦ 2,500,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,Zoo estate,,,,Semi-Furnished,,,,,,,,,,,,,,
"₦ 4,000,000","Enugu, Enugu / Enugu State",Condo,5 bedrooms,5 bathrooms,per annum,diamond estate gra,diamond estate,1000 sqm,Newly Built,Furnished,,"Wardrobe,Balcony,Pop Ceiling,Kitchen Shelf,Tiled Floor,Chandelier,TV,Apartment,Dining Area,Kitchen Cabinets,Pre Paid Meter,24 Hours Electricity,Hot Water",Yes,400000.0,400000.0,100000.0,,,,,,,,
"₦ 2,000,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,diamond estate gra,diamond estate,2000 sqm,Newly Built,Semi-Furnished,,"Apartment,Hot Water,Kitchen Cabinets,Balcony,24 Hours Electricity,Chandelier,Dining Area,Kitchen Shelf,Pre Paid Meter,Pop Ceiling,TV,Dishwasher,Tiled Floor,Wardrobe",Yes,200000.0,200000.0,100000.0,,,,,,,,
"₦ 7,000,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,anually,,,,,,,,,,,,,5.0,Yes,,,Yes,Yes,Yes
"₦ 1,500,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,corridor layout,independence layout by corridor,1000 sqm,Newly Built,Semi-Furnished,,"Chandelier,Dining Area,Pop Ceiling,24 Hours Electricity,Tiled Floor,Wardrobe,Pre Paid Meter,Balcony,Hot Water,Kitchen Cabinets",Yes,200000.0,150000.0,100000.0,,,,,,,,
"₦ 2,300,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per quarter,Golf estate,golf estate,900 sqm,Newly Built,Semi-Furnished,Pets Allowed,"Hot Water,Tiled Floor,Chandelier,Kitchen Shelf,Air Conditioning,Dishwasher,Balcony,Pre Paid Meter,Dining Area,Wardrobe,Pop Ceiling,24 Hours Electricity,Kitchen Cabinets",,,,,,,,,,,,
"₦ 600,000","Lagos, Ojodu, Yakoyo/Alagbole",Duplex,5 bedrooms,5 bathrooms,per quarter,premier estate otun Akute,premier estate,300 sqm,Fairly Used,Furnished,No Pets,"Air Conditioning,Balcony,Wardrobe,24 Hours Electricity,Kitchen Shelf,Kitchen Cabinets,Hot Water,Tiled Floor,Pre Paid Meter,Microwave,Dining Area,Apartment",Yes,120000.0,120000.0,70000.0,,,,,,,,
"₦ 8,000,000","Lagos, Ikeja, Omole Phase 1",Duplex,5 bedrooms,5 bathrooms,per annum,Omole Phase 1,Omole Phase 1,400 sqm,Newly Built,Semi-Furnished,Pets Allowed,"Dining Area,Apartment,Kitchen Cabinets,Pop Ceiling,Kitchen Shelf,24 Hours Electricity,Wardrobe,Pre Paid Meter,Hot Water,Balcony,Microwave",,,,,,,,,,,,
"₦ 2,500,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per quarter,liberty estate independence layout,liberty estate independence layout,600 sqm,Newly Built,Furnished,,"Pre Paid Meter,Kitchen Shelf,Refrigerator,Dining Area,Pop Ceiling,24 Hours Electricity,Balcony,Hot Water,Air Conditioning,TV,Tiled Floor,Wardrobe",Yes,250000.0,250000.0,200000.0,,,,,,,,
"₦ 5,000,000",none,Duplex,5 bedrooms,5 bathrooms,per annum,Premier Layout,Premier Layout,,Newly Built,Unfurnished,Pets Allowed,"Pre Paid Meter,Wardrobe,Dining Area,Kitchen Shelf,Balcony,24 Hours Electricity,Hot Water,Kitchen Cabinets,Pop Ceiling,Chandelier,Tiled Floor",,,,,,,,,,,,
"₦ 3,500,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,anually,,,,,Furnished,Pets Allowed,,,,,,,5.0,Yes,Allowed,Allowed,Yes,Yes,
"₦ 3,000,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,anually,,,,,Furnished,,,,,,,,5.0,Yes,,,,,
"₦ 4,000,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,1 bathroom,per annum,premier layout (Goshen estate axis (,premier layout,600 sqm,Newly Built,Furnished,,"Wardrobe,Hot Water,Apartment,Tiled Floor,Kitchen Shelf,Pop Ceiling,Refrigerator,Chandelier,24 Hours Electricity,Pre Paid Meter",Yes,400000.0,400000.0,100000.0,,,,,,,,
"₦ 3,500,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,anually,Ada George,,,Newly Built,Furnished,,,,,,,Standard,5.0,Yes,,,,,
"₦ 7,000,000","Lagos, Lekki, Osapa london",Duplex,5 bedrooms,5 bathrooms,per annum,"lekki, Lagos",,,Newly Built,Furnished,,,,,,,,,,,,,,
"₦ 9,500,000","Lagos, Lekki, Jakande",House,5 bedrooms,5 bathrooms,per annum,"Victory Park Estate, Jakande Lekki",Victory Park,,Fairly Used,Semi-Furnished,,"Air Conditioning,Hot Water,Pop Ceiling,Refrigerator,Pre Paid Meter,Wardrobe,Kitchen Cabinets,Microwave,Kitchen Shelf,Dining Area,Tiled Floor",Yes,950000.0,950000.0,200000.0,,,,,,,,
"₦ 6,000,000","Lagos, Lekki, Osapa london",Duplex,5 bedrooms,5 bathrooms,per annum,eletu,eletu,,Renovated,Unfurnished,,"Dishwasher,Kitchen Shelf,Hot Water,Chandelier,Kitchen Cabinets,Microwave,Wardrobe,Tiled Floor,Balcony,Dining Area,Pop Ceiling,Pre Paid Meter",,,,,,,,,,,,
"₦ 12,000,000","Lagos, Ikoyi",Duplex,5 bedrooms,5 bathrooms,per annum,ikoyi off banana rd by olori mojisola,ikoyi by olori mojisola off bananard,500 sqm,Newly Built,Semi-Furnished,,"Kitchen Cabinets,Refrigerator,Tiled Floor,Microwave,Pre Paid Meter,Wardrobe,Kitchen Shelf,Apartment,Wi-Fi,Dishwasher,Balcony,Dining Area,Pop Ceiling,Hot Water,Chandelier,Air Conditioning",,,,,,,,,,,,
"₦ 60,000,000","Abuja, Wuse 2",Duplex,5 bedrooms,5 bathrooms,per annum,wuse2,,4000 sqm,Fairly Used,Semi-Furnished,,"Hot Water,Balcony,Microwave,Dining Area,Wardrobe,Pre Paid Meter,Air Conditioning,Tiled Floor,Pop Ceiling,Kitchen Shelf,24 Hours Electricity,Chandelier,Dishwasher,Refrigerator,Kitchen Cabinets",,,,,,,,,,,,
"₦ 25,000,000","Abuja, Maitama",Duplex,5 bedrooms,5 bathrooms,per annum,Maitama District Abuja,,,,Unfurnished,,"Wardrobe,Dining Area,Kitchen Shelf,Kitchen Cabinets,Pop Ceiling,Pre Paid Meter,Tiled Floor,Chandelier,Air Conditioning,Hot Water",,,,,,,,,,,,
"₦ 2,000,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,premium layout back of Goshen estate,premier layout,500 sqm,Newly Built,Semi-Furnished,,"Pre Paid Meter,Wardrobe,Hot Water,24 Hours Electricity,Pop Ceiling,Kitchen Cabinets,Balcony,Tiled Floor,TV,Dining Area,Kitchen Shelf",Yes,200000.0,200000.0,200000.0,,,,,,,,
"₦ 2,000,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,golf estate gra,golf estate gra,800 sqm,Newly Built,Semi-Furnished,,,Yes,250000.0,200000.0,100000.0,,,,,,,,
"₦ 5,000,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,per annum,G.R.A,G.R.A,900 sqm,Fairly Used,Semi-Furnished,,"Kitchen Cabinets,Wardrobe,Dining Area,Dishwasher,Kitchen Shelf,Balcony,Pop Ceiling,Pre Paid Meter,Tiled Floor,Hot Water,Chandelier",,,,,,,,,,,,
"₦ 4,000,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,zoo estate gra,zoo estate gra,700 sqm,Fairly Used,Furnished,,"24 Hours Electricity,Dining Area,Kitchen Cabinets,Kitchen Shelf,Pre Paid Meter,Hot Water,Pop Ceiling,Apartment,Balcony,Air Conditioning,Microwave",Yes,400000.0,400000.0,400000.0,,,,,,,,
"₦ 8,500,000","Lagos, Victoria Island",Duplex,5 bedrooms,5 bathrooms,per annum,"Oniru, Victoria Island",Oniru Estate,,,Semi-Furnished,,"Kitchen Shelf,Wardrobe,Dining Area,Hot Water,Chandelier,24 Hours Electricity,Apartment,Microwave,Air Conditioning,Balcony,Pop Ceiling,Pre Paid Meter,Dishwasher,Kitchen Cabinets,Tiled Floor",Yes,,,,,,,,,,,
"₦ 2,500,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,gra enugu,diamond estate,500 sqm,Newly Built,Semi-Furnished,,"24 Hours Electricity,Pop Ceiling,Pre Paid Meter,Kitchen Cabinets,Tiled Floor,Balcony,Chandelier,Dining Area",,,,,,,,,,,,
"₦ 6,500,000","Bayelsa, Yenagoa",Duplex,5 bedrooms,5 bathrooms,per annum,PALM AVENUE ROAD OFF OKAKA ESTATE,PALM AVENUE,936 sqm,Fairly Used,Furnished,,"Air Conditioning,Dishwasher,Kitchen Shelf,Chandelier,Wardrobe,Dining Area,TV,Pop Ceiling,Hot Water,Refrigerator,Tiled Floor,Balcony,Kitchen Cabinets",Yes,10.0,5.0,200000.0,,,,,,,,
"₦ 5,000,000","Lagos, Lekki, Chevron",Duplex,5 bedrooms,5 bathrooms,per annum,Saintly road,Chevy Veiw,500 sqm,Fairly Used,Semi-Furnished,Pets Allowed,"Dishwasher,Kitchen Cabinets,Pop Ceiling,Chandelier,Balcony,Kitchen Shelf,Pre Paid Meter,Wardrobe,Dining Area,Hot Water,Tiled Floor,Microwave",,,,,,,,,,,,
"₦ 2,000,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,sharp 4 bedroom duplex for rent at golf estate,Golf estate,500 sqm,Fairly Used,Furnished,Pets Allowed,"Dining Area,24 Hours Electricity,Tiled Floor,Pop Ceiling,Chandelier,Hot Water,Wardrobe,Kitchen Cabinets,Pre Paid Meter,Balcony,Kitchen Shelf,Dishwasher",Yes,,,,,,,,,,,
"₦ 12,000,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,anually,OLD GRA,,,Newly Built,Furnished,Pets Allowed,"Hot Water,TV,Dishwasher,Refrigerator,Air Conditioning,Wi-Fi",,,,,Standard,5.0,Yes,Allowed,Allowed,Yes,,
"₦ 8,500,000","Lagos, Victoria Island",Duplex,5 bedrooms,5 bathrooms,per annum,"Oniru, Victoria Island",Oniru,,,Semi-Furnished,,"Chandelier,Pre Paid Meter,Tiled Floor,Microwave,Wardrobe,Balcony,Pop Ceiling,Dishwasher,Kitchen Cabinets,Apartment,Hot Water,Dining Area,Kitchen Shelf",,,,,,,,,,,,
"₦ 2,000,000","Rivers, Port-Harcourt",Apartment,5 bedrooms,5 bathrooms,anually,,,,,Furnished,Pets Allowed,,,,,,,6.0,Yes,Allowed,Allowed,Yes,Yes,
"₦ 3,000,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,anually,,,,,,,,,,,,,5.0,Yes,,,,Yes,Yes
"₦ 2,000,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,Newly built 5 bedroom duplex for rent at independence layout,Independence layout,500 sqm,Newly Built,Furnished,Pets Allowed,"24 Hours Electricity,Pre Paid Meter,Wardrobe,Pop Ceiling,Balcony,Kitchen Cabinets,Dishwasher,Kitchen Shelf,Dining Area,Hot Water,Tiled Floor",Yes,10.0,10.0,10.0,,,,,,,,
"₦ 5,500,000","Lagos, Lekki, Chevron",Duplex,5 bedrooms,5 bathrooms,per annum,by chevron toll gate,,400 sqm,Newly Built,Semi-Furnished,Pets Allowed,,,,,,,,,,,,,
"₦ 6,000,000","Lagos, Lekki, Lekki Phase 1",Duplex,5 bedrooms,5 bathrooms,per annum,lekki,lekki,,Fairly Used,Semi-Furnished,,"Pop Ceiling,Wardrobe,Kitchen Cabinets,Tiled Floor,Dining Area,Pre Paid Meter,Kitchen Shelf,Balcony,Hot Water,Microwave",Yes,600000.0,600000.0,300000.0,,,,,,,,
"₦ 16,000,000","Lagos, Lekki",Duplex,5 bedrooms,5 bathrooms,per annum,Lekki phase1,lekki phase1,,Newly Built,Semi-Furnished,,"Balcony,Hot Water,Dishwasher,Dining Area,Chandelier,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre Paid Meter,Wardrobe",,,,,,,,,,,,
"₦ 5,000,000","Lagos, Lekki, Ikota",House,5 bedrooms,5 bathrooms,per annum,5bedroom fully detached duplex for rent,,,Newly Built,Semi-Furnished,,,,,,,,,,,,,,
"₦ 3,500,000",none,Townhouse/Terrace,5 bedrooms,5 bathrooms,per annum,Gudu district after eterna filling station,,2000 sqm,Fairly Used,Semi-Furnished,Pets Allowed,"Air Conditioning,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre Paid Meter,Tiled Floor,Wardrobe",,,,,,,,,,,,
"₦ 11,000,000","Abuja, Wuse",Bungalow,5 bedrooms,5 bathrooms,anually,Wuse Zone 5,,700 sqm,Newly Built,Unfurnished,Pets Allowed,,,,,,Standard,5.0,Yes,Not Allowed,Allowed,Yes,,
"₦ 2,500,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,Zoo estate,,,Newly Built,Semi-Furnished,,"Air Conditioning,Chandelier,Kitchen Cabinets,Kitchen Shelf,Balcony,Dining Area,Dishwasher,Microwave,Pre Paid Meter,Hot Water",,,,,,,,,,,,
"₦ 3,000,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,anually,Alcon Road,,,Fairly Used,Unfurnished,,,,,,,,,,,,,,
"₦ 5,000,000","Lagos, Lekki, Ikota",Duplex,5 bedrooms,5 bathrooms,per annum,Harris drive by VGC,Harris Drive,,Newly Built,Semi-Furnished,,"Kitchen Shelf,Pre Paid Meter,Balcony,Kitchen Cabinets,Tiled Floor,Hot Water,Wardrobe,Microwave,Apartment,Chandelier,Pop Ceiling,Dishwasher,Dining Area",Yes,,,,,,,,,,,
"₦ 5,000,000","Rivers, Port-Harcourt, Rumuogba",Duplex,5 bedrooms,5 bathrooms,per annum,Behind Cocaine Estate,,,Fairly Used,Unfurnished,,,,,,,,,,,,,,
"₦ 7,000,000","Lagos, Lekki, Lekki Phase 2",House,5 bedrooms,5 bathrooms,per annum,chevron,Chevryview Estate,600 sqm,Newly Built,Unfurnished,Pets Allowed,"Balcony,Dining Area,Chandelier,Microwave,Pop Ceiling,Kitchen Shelf,Tiled Floor,Dishwasher,Hot Water,Pre Paid Meter,Wardrobe,Kitchen Cabinets",,,,,,,,,,,,
"₦ 2,500,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,per annum,woji,,,Fairly Used,Unfurnished,,"Dining Area,Kitchen Shelf,Tiled Floor,Dishwasher,Pop Ceiling,Chandelier,Balcony,Wardrobe,24 Hours Electricity",,,,,,,,,,,,
"₦ 3,000,000","Lagos, Ajah",Duplex,5 bedrooms,3 bathrooms,per quarter,Maroko bu mobil road,,600 sqm,Newly Built,Furnished,,"24 Hours Electricity,Hot Water,Dining Area,Tiled Floor,Kitchen Cabinets,Wardrobe,Pre Paid Meter,Pop Ceiling",,,,,,,,,,,,
"₦ 8,500,000","Lagos, Lekki, Osapa london",Duplex,5 bedrooms,5 bathrooms,per annum,Eletu,Eletu,350 sqm,Newly Built,Unfurnished,,"Dishwasher,Balcony,Kitchen Shelf,Chandelier,Wardrobe,Pop Ceiling,Hot Water,Microwave,Kitchen Cabinets,Dining Area",,,,,,,,,,,,
"₦ 4,000,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,per annum,Peter Odili Estate,Peter Odili Estate,,Newly Built,Unfurnished,,,,,,,,,,,,,,
"₦ 4,000,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,anually,,,,,,,,,,,,,5.0,Yes,,,,Yes,Yes
"₦ 2,000,000","Lagos, Lekki, Lekki Phase 2",Duplex,5 bedrooms,5 bathrooms,per annum,ogombo,ogombo,600 sqm,Fairly Used,Unfurnished,Pets Allowed,"Pop Ceiling,Hot Water,Wardrobe,Tiled Floor,Balcony,Dining Area,Dishwasher,Pre Paid Meter,Kitchen Shelf,Chandelier,Kitchen Cabinets",,,,,,,,,,,,
"₦ 25,000,000","Lagos, Lekki",Duplex,5 bedrooms,5 bathrooms,per annum,Lekki phase one,,,Newly Built,Semi-Furnished,,"Balcony,Chandelier,Dining Area,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Tiled Floor,Wardrobe",,,,,,,,,,,,
"₦ 10,000,000",none,Duplex,5 bedrooms,5 bathrooms,per annum,road 12 Admiralty way lekki phrase1,lekki phrase1,30 sqm,Newly Built,Unfurnished,Pets Allowed,"Dining Area,Pre Paid Meter,Dishwasher,Refrigerator,Chandelier,Tiled Floor,Wardrobe,24 Hours Electricity,Kitchen Cabinets,Hot Water,Microwave,Kitchen Shelf,Pop Ceiling,Balcony",,,,,,,,,,,,
"₦ 7,500,000","Lagos, Lekki, Chevron",Duplex,5 bedrooms,5 bathrooms,per annum,Chevron drive,chevy view estate,,Newly Built,Unfurnished,Pets Allowed,"Balcony,Chandelier,Dining Area,Kitchen Cabinets,Microwave,Pre Paid Meter,Wardrobe,Hot Water,Tiled Floor,Kitchen Shelf,Refrigerator,Pop Ceiling,Dishwasher",,,,,,,,,,,,
"₦ 7,000,000","Lagos, Lekki, Osapa london",Duplex,5 bedrooms,5 bathrooms,per annum,osapa lekki lagos,,400 sqm,Newly Built,Unfurnished,Pets Allowed,,,,,,,,,,,,,
"₦ 2,500,000","Lagos, Ajah",Duplex,5 bedrooms,5 bathrooms,per quarter,Sangotedo,Goodnews Estate,,Fairly Used,Semi-Furnished,Pets Allowed,"Pop Ceiling,Microwave,TV,Kitchen Shelf,Balcony,Kitchen Cabinets,Dining Area,Hot Water,24 Hours Electricity,Wardrobe,Pre Paid Meter,Tiled Floor,Chandelier,Air Conditioning",Yes,250000.0,300000.0,250000.0,,,,,,,,
"₦ 3,000,000","Lagos, Magodo",Duplex,5 bedrooms,5 bathrooms,anually,,,,,,,,,,,,,8.0,Yes,,,,Yes,Yes
"₦ 6,000,000","Lagos, Lekki, Lekki Phase 1",Duplex,5 bedrooms,5 bathrooms,per annum,"Off Admiralty way, lekki phase 1",,,Newly Built,Semi-Furnished,,,,,,,,,,,,,,
"₦ 10,000,000","Lagos, Ikoyi, Old Ikoyi",Duplex,5 bedrooms,5 bathrooms,per annum,ikoyi parkview estate,ikoyi parkview estate,500 sqm,Newly Built,Semi-Furnished,,"Hot Water,Tiled Floor,Wardrobe,Pop Ceiling,Kitchen Cabinets,Dishwasher,Refrigerator,Microwave,Wi-Fi,Dining Area,Chandelier,Kitchen Shelf,Apartment,Air Conditioning,Pre Paid Meter,Balcony",,,,,,,,,,,,
"₦ 1,100,000","Lagos, Lekki, Ikate-Elegushi",Shared Apartment,5 bedrooms,5 bathrooms,per quarter,Off Kusenla road,Ikate,,Newly Built,Unfurnished,No Pets,"Chandelier,Apartment,Hot Water,Tiled Floor,Kitchen Cabinets,Wardrobe,Kitchen Shelf,Balcony,Pre Paid Meter,Pop Ceiling",,,,,,,,,,,,
"₦ 5,000,000","Lagos, Lekki, Osapa london",Duplex,5 bedrooms,5 bathrooms,per annum,Osapa London,,,Fairly Used,Unfurnished,,"Pop Ceiling,Chandelier,Tiled Floor,Wardrobe",Yes,,,,,,,,,,,
"₦ 3,500,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,per annum,peter odili,,,Newly Built,Unfurnished,Pets Allowed,"Kitchen Cabinets,Pre Paid Meter,Hot Water,Tiled Floor,24 Hours Electricity,Pop Ceiling,Wardrobe,Dining Area,Balcony",Yes,350000.0,,,,,,,,,,
"₦ 5,000,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,per annum,Port Harcourt,Shell Cooperative,900 sqm,Newly Built,Semi-Furnished,Pets Allowed,"Wardrobe,Dining Area,Pre Paid Meter,Hot Water,Balcony,Kitchen Shelf,Tiled Floor,Kitchen Cabinets,24 Hours Electricity,Chandelier",,,,,,,,,,,,
"₦ 6,000,000","Lagos, Lekki, Ikota",Duplex,5 bedrooms,5 bathrooms,per quarter,Lekki County,Lekki County,,Newly Built,Furnished,Pets Allowed,"Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Tiled Floor,Wardrobe",,,,,,,,,,,,
"₦ 12,000,000","Lagos, Ikoyi",House,5 bedrooms,5 bathrooms,per annum,ikoyi,ikoyi,600 sqm,Newly Built,Semi-Furnished,Pets Allowed,"Tiled Floor,Air Conditioning,Pre Paid Meter,Dishwasher,Kitchen Shelf,Balcony,Microwave,Chandelier,Kitchen Cabinets,Wardrobe,Refrigerator,Dining Area,Hot Water,Pop Ceiling",,,,,,,,,,,,
"₦ 20,000,000","Lagos, Lekki",Duplex,5 bedrooms,5 bathrooms,per annum,"Not far from Admiralty Way, Lekki Phase 1.",,600 sqm,,Furnished,,,,,,,,,,,,,,
